Energy_240120_012	Is (A)_1_240120_012	Im (A)_1_240120_012	Is/Im (#)_1_240120_012	Keithley Source (A)_2_240120_012
-8.150561E+2	-3.169769E-10	5.432619E-11	-5.834698E+0	5.438990E-11
-8.149000E+2	-3.162519E-10	5.447503E-11	-5.805447E+0	5.459800E-11
-8.148001E+2	-3.149917E-10	5.450591E-11	-5.779038E+0	5.460960E-11
-8.147000E+2	-3.138585E-10	5.453690E-11	-5.754975E+0	5.474927E-11
-8.146000E+2	-3.126734E-10	5.456533E-11	-5.730258E+0	5.484778E-11
-8.145000E+2	-3.117062E-10	5.458792E-11	-5.710168E+0	5.496706E-11
-8.144000E+2	-3.107525E-10	5.461146E-11	-5.690243E+0	5.504181E-11
-8.143000E+2	-3.099302E-10	5.463141E-11	-5.673114E+0	5.519676E-11
-8.141999E+2	-3.090915E-10	5.466672E-11	-5.654107E+0	5.523223E-11
-8.141000E+2	-3.082195E-10	5.469085E-11	-5.635668E+0	5.543265E-11
-8.139999E+2	-3.075922E-10	5.466119E-11	-5.627250E+0	5.551817E-11
-8.139000E+2	-3.066215E-10	5.472094E-11	-5.603367E+0	5.568802E-11
-8.138000E+2	-3.058470E-10	5.473620E-11	-5.587655E+0	5.579012E-11
-8.137000E+2	-3.052844E-10	5.476548E-11	-5.574395E+0	5.566993E-11
-8.136000E+2	-3.045979E-10	5.478049E-11	-5.560335E+0	5.602030E-11
-8.135001E+2	-3.038443E-10	5.481016E-11	-5.543576E+0	5.606486E-11
-8.133999E+2	-3.030879E-10	5.481405E-11	-5.529383E+0	5.619075E-11
-8.133000E+2	-3.024192E-10	5.483787E-11	-5.514787E+0	5.628565E-11
-8.131999E+2	-3.017842E-10	5.487118E-11	-5.499867E+0	5.651704E-11
-8.131001E+2	-3.011543E-10	5.488424E-11	-5.487082E+0	5.654910E-11
-8.130000E+2	-3.005575E-10	5.491007E-11	-5.473632E+0	5.679038E-11
-8.129000E+2	-3.000697E-10	5.492790E-11	-5.462974E+0	5.679738E-11
-8.128000E+2	-2.996398E-10	5.494602E-11	-5.453349E+0	5.691749E-11
-8.127001E+2	-2.991304E-10	5.496665E-11	-5.442034E+0	5.693358E-11
-8.125999E+2	-2.987234E-10	5.497611E-11	-5.433695E+0	5.700640E-11
-8.125000E+2	-2.983758E-10	5.499972E-11	-5.425042E+0	5.743420E-11
-8.123999E+2	-2.979980E-10	5.500873E-11	-5.417286E+0	5.725676E-11
-8.123001E+2	-2.975963E-10	5.503288E-11	-5.407609E+0	5.743401E-11
-8.122000E+2	-2.975802E-10	5.504426E-11	-5.406199E+0	5.752491E-11
-8.121000E+2	-2.972220E-10	5.506604E-11	-5.397555E+0	5.770815E-11
